u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup
13.0,58.464599313814205,71.9538023363298,,,58.92463482944133,71.95380233632982
13.25,58.34612988999534,72.09437515193079,,,59.063118212322465,72.09437515193079
13.5,58.22787806804551,72.23514489454371,,,59.20179160301891,72.23514489454372
13.75,58.10984385243165,72.37611119826786,,,59.3406546388669,72.37611119826786
14.0,57.99202724397196,72.51727369463097,,,59.479706955241966,72.51727369463097
14.25,57.874428239842345,72.65863201261169,,,59.61894818558194,72.65863201261169
14.5,57.757046833580475,72.80018577866294,,,59.75837796141034,72.80018577866294
14.75,57.63988301509471,72.94193461673443,,,59.89799591235855,72.94193461673443
15.0,57.52293677066786,73.08387814829749,,,60.03780166618999,73.08387814829749
15.25,57.40620808296625,73.22601599236677,,,60.17779484882215,73.22601599236677
15.5,57.289696931045334,73.36834776552529,,,60.317975084350444,73.36834776552529
15.75,57.17340329035761,73.51087308194764,,,60.458341995070974,73.51087308194764
16.0,57.05732713276052,73.65359155342402,,,60.59889520150394,73.65359155342402
16.25,56.94146842652385,73.796502789384,,,60.7396343224169,73.79650278938401
16.5,56.82582713633767,73.93960639692101,,,60.880558974848135,73.93960639692102
16.75,56.71040322332193,74.08290198081649,,,61.02166877412973,74.0829019808165
17.0,56.59519664503379,74.22638914356386,,,61.162963333911186,74.22638914356386
17.25,56.48020735547766,74.3700674853937,,,61.30444226618247,74.37006748539372
17.5,56.365435305113536,74.51393660429764,,,61.44610518129769,74.51393660429765
17.75,56.25088044086712,74.65799609605364,,,61.58795168799857,74.65799609605364
18.0,56.13654270613942,74.80224555425035,,,61.72998139343736,74.80224555425036
18.25,56.022422040816856,74.9466845703117,,,61.87219390320071,74.94668457031172
18.5,55.908518381280714,75.09131273352239,,,62.01458882133287,75.0913127335224
18.75,55.794831660419064,75.23612963105305,,,62.15716575035939,75.23612963105305
19.0,55.6813618076361,75.38113484798463,,,62.29992429131029,75.38113484798464
19.25,55.5681087488644,75.52632796733415,,,62.44286404374343,75.52632796733415
19.5,55.45507240657497,75.67170857007974,,,62.58598460576832,75.67170857007974
19.75,55.34225269978957,75.817276235186,,,62.729285574069,75.81727623518601
20.0,55.22964954409202,75.96303053962941,,,62.87276654392821,75.96303053962941
20.25,55.11726285164068,76.10897105842415,,,63.016427109249676,76.10897105842416
20.5,55.005092531179734,76.25509736464709,,,63.16026686258266,76.25509736464709
20.75,54.893138488052784,76.4014090294634,,,63.3042853951445,76.4014090294634
21.0,54.781400624214214,76.54790562215261,,,63.44848229684433,76.54790562215263
21.25,54.669878838243456,76.69458671013388,,,63.59285715630618,76.69458671013388
21.5,54.55857302535673,76.84145185899237,,,63.73740956089242,76.84145185899237
21.75,54.44748307742141,76.98850063250396,,,63.882139096726924,76.98850063250396
22.0,54.336608882969145,77.13573259266231,,,64.02704534871839,77.13573259266232
22.25,54.22595032720989,77.28314729970363,,,64.1721279005832,77.28314729970364
22.5,54.1155072920451,77.43074431213323,,,64.31738633486913,77.43074431213323
22.75,54.00527965608315,77.57852318675117,,,64.4628202329779,77.57852318675117
23.0,53.89526729465268,77.72648347867832,,,64.60842917518855,77.72648347867832
23.25,53.78547007981774,77.87462474138249,,,64.7542127406802,77.87462474138249
23.5,53.675887880392644,78.02294652670379,,,64.90017050755544,78.02294652670379
23.75,53.56652056195647,78.1714483848815,,,65.04630205286279,78.17144838488151
24.0,53.45736798686888,78.3201298645793,,,65.19260695261957,78.32012986457931
24.25,53.34843001428515,78.46899051291187,,,65.33908478183537,78.46899051291189
24.5,53.23970650017197,78.61802987547047,,,65.48573511453372,78.61802987547048
24.75,53.13119729732288,78.76724749634955,,,65.63255752377582,78.76724749634955
25.0,53.02290225537481,78.91664291817236,,,65.77955158168248,78.91664291817237
25.25,52.91482122082388,79.06621568211665,,,65.92671685945668,79.06621568211666
25.5,52.80695403704137,79.21596532794143,,,66.07405292740665,79.21596532794145
25.75,52.699300544291,79.36589139401285,,,66.22155935496767,79.36589139401285
26.0,52.59186057974511,79.51599341732961,,,66.3692357107247,79.51599341732963
26.25,52.48463397750179,79.66627093354964,,,66.51708156243444,79.66627093354964
26.5,52.377620568601564,79.81672347701553,,,66.6650964770478,79.81672347701554
26.75,52.27082018104507,79.96735058078102,,,66.8132800207318,79.96735058078102
27.0,52.16423263980972,80.1181517766364,,,66.96163175889183,80.11815177663641
27.25,52.057857766868096,80.26912659513425,,,67.11015125619323,80.26912659513425
27.5,51.95169538120477,80.42027456561651,,,67.2588380765835,80.42027456561652
27.75,51.845745298834615,80.57159521623882,,,67.40769178331394,80.57159521623882
28.0,51.740007332820674,80.72308807399706,,,67.5567119389614,80.72308807399708
28.25,51.63448129329262,80.87475266475295,,,67.70589810544924,80.87475266475295
28.5,51.52916698746415,81.02658851325991,,,67.85524984407041,81.02658851325992
28.75,51.42406421965221,81.1785951431884,,,68.00476671550706,81.1785951431884
29.0,51.319172791295344,81.3307720771515,,,68.15444827985307,81.3307720771515
29.25,51.21449250097207,81.48311883673128,,,68.30429409663459,81.4831188367313
29.5,51.110023144420275,81.63563494250253,,,68.4543037248314,81.63563494250253
29.75,51.00576451455543,81.78831991406072,,,68.60447672289824,81.78831991406074
30.0,50.901716401490376,81.94117327004477,,,68.75481264878488,81.94117327004479
30.25,50.79787859255386,82.09419452816446,,,68.9053110599579,82.09419452816446
30.5,50.694250872310526,82.24738320522391,,,69.05597151342074,82.24738320522393
30.75,50.5908330225798,82.40073881714852,,,69.20679356573443,82.40073881714852
31.0,50.487624822455736,82.55426087900858,,,69.3577767730381,82.55426087900858
31.25,50.384626048326666,82.70794890504476,,,69.50892069106926,82.70794890504476
31.5,50.2818364738946,82.86180240869393,,,69.66022487518445,82.86180240869393
31.75,50.17925587019571,83.01582090261236,,,69.81168888037885,83.01582090261238
32.0,50.07688400561991,83.17000389870242,,,69.96331226130636,83.17000389870243
32.25,49.97472064593081,83.32435090813544,,,70.11509457229984,83.32435090813544
32.5,49.87276555428643,83.47886144137779,,,70.2670353673906,83.4788614413778
32.75,49.771018491258815,83.63353500821442,,,70.41913420032829,83.63353500821442
33.0,49.66947921485505,83.78837111777406,,,70.57139062459993,83.78837111777406
33.25,49.56814748053679,83.94336927855309,,,70.72380419345038,83.9433692785531
33.5,49.46702304124185,84.09852899843963,,,70.87637445990032,84.09852899843963
33.75,49.36610564740413,84.25384978473812,,,71.02910097676644,84.25384978473814
34.0,49.26539504697438,84.40933114419326,,,71.18198329667975,84.40933114419326
34.25,49.16489098544145,84.56497258301395,,,71.33502097210497,84.56497258301395
34.5,49.06459320585227,84.72077360689684,,,71.48821355535951,84.72077360689684
34.75,48.96450144883331,84.87673372105041,,,71.64156059863129,84.87673372105043
35.0,48.86461545261175,85.0328524302185,,,71.79506165399809,85.0328524302185
35.25,48.76493495303596,85.18912923870371,,,71.94871627344527,85.18912923870371
35.5,48.665459683596815,85.34556365039087,,,72.10252400888497,85.34556365039089
35.75,48.56618937544928,85.5021551687704,,,72.2564844121729,85.50215516877041
36.0,48.467123757432695,85.658903296961,,,72.41059703512774,85.658903296961
36.25,48.368262556092986,85.81580753773378,,,72.56486142954773,85.81580753773378
36.5,48.26960549570332,85.97286739353376,,,72.7192771472294,85.97286739353376
36.75,48.17115229828567,86.13008236650347,,,72.87384373998455,86.13008236650347
37.0,48.07290268363266,86.28745195850628,,,73.0285607596577,86.2874519585063
37.25,47.97485636932802,86.44497567114702,,,73.18342775814395,86.44497567114702
37.5,47.87701307076884,86.6026530057963,,,73.33844428740545,86.6026530057963
37.75,47.779372501187005,86.7604834636117,,,73.49360989948867,86.76048346361172
38.0,47.68193437167064,86.91846654556069,,,73.64892414654159,86.9184665455607
38.25,47.58469839118533,87.07660175244143,,,73.80438658082986,87.07660175244143
38.5,47.487664266596376,87.23488858490606,,,73.95999675475396,87.23488858490606
38.75,47.39083170268993,87.39332654348172,,,74.11575422086537,87.39332654348172
39.0,47.29420040219473,87.55191512859199,,,74.27165853188276,87.55191512859199
39.25,47.1977700658042,87.71065384057857,,,74.4277092407084,87.71065384057857
39.5,47.10154039219743,87.86954217972303,,,74.58390590044412,87.86954217972303
39.75,47.00551107806132,88.02857964626682,,,74.74024806440717,88.02857964626682
40.0,46.90968181811248,88.18776574043389,,,74.89673528614573,88.18776574043389
40.25,46.81405230511808,88.34709996245,,,75.0533671194552,88.34709996245002
40.5,46.71862222991855,88.50658181256489,,,75.21014311839266,88.50658181256489
40.75,46.62339128144924,88.66621079107131,,,75.36706283729264,88.66621079107131
41.0,46.528359146761176,88.82598639832683,,,75.52412583078268,88.82598639832685
41.25,46.433525511043854,88.98590813477375,,,75.68133165379747,88.98590813477375
41.5,46.33889005764651,89.14597550095877,,,75.83867986159456,89.14597550095877
41.75,46.24445246809988,89.30618799755291,,,75.9961700097683,89.30618799755291
42.0,46.15021242213802,89.4665451253725,,,76.15380165426487,89.4665451253725
42.25,46.05616959771943,89.62704638539756,,,76.31157435139687,89.62704638539756
42.5,45.962323671050235,89.7876912787917,,,76.46948765785666,89.7876912787917
42.75,45.86867431660361,89.94847930692185,,,76.6275411307318,89.94847930692187
43.0,45.77522120714378,90.10940997137706,,,76.78573432751764,90.10940997137708
43.25,45.68196401374569,90.27048277398727,,,76.94406680613235,90.27048277398728
43.5,45.58890240581825,90.43169721684316,,,77.10253812492962,90.43169721684316
43.75,45.496036051124506,90.59305280231388,,,77.26114784271283,90.59305280231389
44.0,45.40336461580412,90.75454903306581,,,77.41989551874818,90.75454903306581
44.25,45.31088776439476,90.91618541208135,,,77.57878071277774,90.91618541208135
44.5,45.21860515985322,91.07796144267698,,,77.7378029850328,91.07796144267698
44.75,45.126516463577374,91.23987662852085,,,77.89696189624668,91.23987662852086
45.0,45.03462133542714,91.4019304736512,,,78.05625700766757,91.40193047365122
45.25,44.94291943374621,91.56412248249373,,,78.21568788107102,91.56412248249373
45.5,44.85141041538346,91.7264521598797,,,78.37525407877241,91.7264521598797
45.75,44.760093935713925,91.88891901106264,,,78.53495516363962,91.88891901106264
46.0,44.66896964866028,92.05152254173592,,,78.69479069910466,92.05152254173592
46.25,44.57803720671411,92.21426225804973,,,78.85476024917618,92.21426225804973
46.5,44.48729626095704,92.37713766662816,,,79.01486337845103,92.37713766662816
46.75,44.39674646108164,92.54014827458555,,,79.17509965212655,92.54014827458553
47.0,44.30638745541323,92.70329358954316,,,79.3354686360109,92.70329358954318
47.25,44.216218890929724,92.86657311964564,,,79.4959698965364,92.86657311964564
47.5,44.12624041328377,93.02998637357723,,,79.65660300076902,93.02998637357723
47.75,44.03645166682283,93.19353286057769,,,79.81736751642072,93.1935328605777
48.0,43.94685229461075,93.35721209045826,,,79.97826301185967,93.35721209045826
48.25,43.85744193844771,93.52102357361699,,,80.13928905612195,93.52102357361699
48.5,43.76822023889162,93.68496682105499,,,80.30044521892158,93.68496682105499
48.75,43.67918683527891,93.8490413443907,,,80.46173107066096,93.8490413443907
49.0,43.59034136574432,94.01324665587615,,,80.6231461824422,94.01324665587615
49.25,43.50168346724212,94.1775822684113,,,80.78469012607654,94.17758226841131
49.5,43.413212775566585,94.34204769555939,,,80.94636247409484,94.34204769555939
49.75,43.32492892537209,94.50664245156017,,,81.10816279975745,94.50664245156017
50.0,43.23683155019323,94.67136605134658,,,81.27009067706457,94.6713660513466
50.25,43.14892028246609,94.83621801055708,,,81.43214568076507,94.83621801055708
50.5,43.06119475354688,95.00119784555127,,,81.59432738636659,95.00119784555127
50.75,42.973654593733926,95.16630507342214,,,81.75663537014498,95.16630507342215
51.0,42.886299432285725,95.33153921201213,,,81.91906920915365,95.33153921201213
51.25,42.799128897442486,95.49689977992426,,,82.08162848123229,95.49689977992426
51.5,42.712142616444886,95.66238629653762,,,82.24431276501657,95.66238629653762
51.75,42.62534021555473,95.82799828201905,,,82.40712163994621,95.82799828201905
52.0,42.538721320074,95.9937352573374,,,82.57005468627442,95.9937352573374
52.25,42.45228555436491,96.15959674427619,,,82.7331114850759,96.15959674427619
52.5,42.36603254186922,96.32558226544522,,,82.89629161825566,96.32558226544522
52.75,42.27996190512732,96.49169134429515,,,83.05959466855766,96.49169134429516
53.0,42.194073265798906,96.65792350512784,,,83.22302021957192,96.65792350512784
53.25,42.108366244680454,96.82427827311002,,,83.38656785574383,96.82427827311002
53.5,42.022840461725536,96.99075517428486,,,83.55023716238117,96.99075517428486
53.75,41.93749553606396,97.15735373558341,,,83.71402772566223,97.15735373558343
54.0,41.85233108602026,97.32407348483716,,,83.87793913264358,97.32407348483716
54.25,41.76734672913296,97.49091395078887,,,84.04197097126699,97.49091395078887
54.5,41.68254208217284,97.65787466310428,,,84.20612283036795,97.65787466310428
54.75,41.59791676116229,97.8249551523829,,,84.37039429968173,97.82495515238288
55.0,41.51347038139377,97.99215495016996,,,84.53478496985119,97.99215495016996
55.25,41.429202557448406,98.159473588966,,,84.6992944324331,98.159473588966
55.5,41.34511290321367,98.32691060223864,,,84.86392227990632,98.32691060223864
55.75,41.261201031902914,98.49446552443239,,,85.02866810567694,98.49446552443239
56.0,41.17746655607236,98.6621378909792,,,85.19353150408624,98.66213789097921
56.25,41.09390908764015,98.82992723830898,,,85.35851207041617,98.82992723830898
56.5,41.01052823790411,98.997833103859,,,85.52360940089602,98.99783310385898
56.75,40.92732361755917,99.16585502608439,,,85.6888230927091,99.16585502608439
57.0,40.84429483671607,99.3339925444669,,,85.8541527439983,99.3339925444669
57.25,40.76144150491846,99.50224519952607,,,86.0195979538721,99.50224519952607
57.5,40.678763231160154,99.67061253282597,,,86.18515832241083,99.67061253282597
57.75,40.596259623903535,99.83909408698736,,,86.35083345067213,99.83909408698736
58.0,40.51393029109646,100.0076894056944,,,86.51662294069637,100.0076894056944
58.25,40.43177484018951,100.17639803370456,,,86.68252639551244,100.17639803370456
58.5,40.34979287815315,100.3452195168574,,,86.84854341914314,100.34521951685738
58.75,40.267984011495,100.5141534020825,,,87.0146736166104,100.5141534020825
59.0,40.18634784627642,100.6831992374081,,,87.18091659394017,100.6831992374081
59.25,40.104883988129686,100.85235657196975,,,87.34727195816791,100.85235657196974
59.5,40.02359204227492,101.02162495601732,,,87.51373931734285,101.02162495601732
59.75,39.94247161353605,101.19100394092447,,,87.68031828053343,101.19100394092447
60.0,39.86152230635753,101.36049307919481,,,87.8470084578319,101.36049307919481
60.25,39.78074372482139,101.53009192446987,,,88.01380946035809,101.53009192446987
60.5,39.70013547266293,101.69980003153778,,,88.1807209002649,101.69980003153778
60.75,39.61969715328641,101.86961695633846,,,88.34774239074224,101.86961695633846
61.0,39.53942836978241,102.03954225597236,,,88.51487354602097,102.03954225597236
61.25,39.45932872494248,102.20957548870689,,,88.68211398137751,102.20957548870689
61.5,39.37939782127617,102.3797162139827,,,88.84946331313732,102.3797162139827
61.75,39.29963526102543,102.54996399242161,,,89.01692115867937,102.54996399242161
62.0,39.220040646181225,102.72031838583135,,,89.18448713643953,102.72031838583135
62.25,39.1406135784986,102.89077895721371,,,89.35216086591444,102.89077895721371
62.5,39.06135365951228,103.06134527076924,,,89.51994196766503,103.06134527076922
62.75,38.982260490551745,103.23201689190398,,,89.68783006331995,103.232016891904
63.0,38.903333672756446,103.40279338723607,,,89.85582477557877,103.40279338723607
63.25,38.82457280709049,103.57367432459995,,,90.02392572821613,103.57367432459995
