u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sup_to_LL2_Km_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown
-4.25,67.1604584146884,67.1604584146884,62.74781213932516,
-4.0,67.02719518566624,67.02719518566624,62.874081200530384,
-3.75,66.89414041973217,66.89414041973217,63.00056510823807,
-3.5,66.76129436979748,66.76129436979748,63.12726371803968,
-3.25,66.62865728545246,66.62865728545246,63.254176881888654,
-3.0,66.49622941295252,66.49622941295253,63.38130444810696,
-2.75,66.36401099520334,66.36401099520333,63.50864626139085,
-2.5,66.23200227174718,66.23200227174718,63.63620216281908,
-2.25,66.10020347874894,66.10020347874895,63.76397198985897,
-2.0,65.96861484898207,65.96861484898207,63.891955576374706,
-1.75,65.83723661181611,65.83723661181611,64.02015275263471,
-1.5,65.70606899320299,65.706068993203,64.14856334532065,
-1.25,65.57511221566466,65.57511221566466,64.2771871775343,
-1.0,65.4443664982804,65.4443664982804,64.40602406880808,
-0.75,65.31383205667463,65.31383205667463,64.53507383511285,
-0.5,65.1835091030052,65.1835091030052,64.66433628886774,
-0.25,65.0533978459516,65.0533978459516,64.79381123894971,
0.0,,64.92349849070328,64.92349849070335,64.92349849070334
0.25,,64.79381123894967,65.05339784595161,65.05339784595161
0.5,,64.66433628886756,65.18350910300525,65.18350910300525
0.75,,64.53507383511288,65.31383205667466,65.31383205667464
1.0,,64.406024068808,65.44436649828044,65.44436649828043
1.25,,64.27718717753437,65.57511221566476,65.57511221566475
1.5,,64.14856334532064,65.70606899320302,65.70606899320302
1.75,,64.02015275263483,65.83723661181614,65.83723661181614
2.0,,63.891955576374706,65.96861484898214,65.96861484898214
2.25,,63.76397198985904,66.1002034787489,66.1002034787489
2.5,,63.63620216281909,66.23200227174723,66.23200227174723
2.75,,63.508646261390865,66.36401099520333,66.36401099520334
3.0,,63.38130444810687,66.49622941295252,66.4962294129525
3.25,,63.254176881888796,66.62865728545253,66.62865728545253
3.5,,63.12726371803967,66.76129436979754,66.76129436979754
3.75,,63.00056510823808,66.8941404197323,66.8941404197323
4.0,,62.874081200530455,67.0271951856661,67.02719518566612
4.25,,62.74781213932512,67.1604584146883,67.16045841468829
4.5,,62.62175806538625,67.29392985058217,67.29392985058217
4.75,,62.49591911582809,67.42760923384068,67.42760923384068
5.0,,62.370295424109706,67.56149630168169,67.56149630168169
5.25,,62.24488712002951,67.69559078806378,67.69559078806378
5.5,,62.11969432972052,67.82989242370185,67.82989242370185
5.75,,61.994717175646244,67.964400936084,67.964400936084
6.0,,61.86995577659586,68.09911604948682,68.09911604948682
6.25,,61.74541024768064,68.23403748499301,68.23403748499301
6.5,,61.621080700330594,68.36916496050785,68.36916496050783
6.75,,61.496967242290474,68.50449819077639,68.50449819077639
7.0,,61.373069977617575,68.6400368874011,68.6400368874011
