u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
1.25,,,,51.35586783630622,52.63642274327175,52.63642274327175,65.57511221566476,
1.5,,,,51.228946975571226,52.76560786746001,52.76560786746001,65.706068993203,
1.75,,,,51.10223328006859,52.89499743208024,52.894997432080245,65.83723661181614,
2.0,,,,50.97572695699269,53.024591190648756,53.02459119064876,65.96861484898214,
2.25,,,,50.84942821041403,53.154388893768704,53.15438889376871,66.1002034787489,
2.5,,,,50.72333724126664,53.28439028914617,53.28439028914617,66.23200227174723,
2.75,,,,50.59745424733463,53.41459512160755,53.41459512160755,66.36401099520333,
3.0,,,,50.471779423239596,53.54500313311636,53.54500313311637,66.49622941295252,
3.25,,,,50.34631296042812,53.67561406279079,53.67561406279079,66.62865728545253,
3.5,,,,50.22105504715915,53.80642764692062,53.806427646920625,66.76129436979755,
3.75,,,,50.096005868492185,53.93744361898509,53.93744361898509,66.89414041973228,
4.0,,,,49.971165606275626,54.06866170967073,54.06866170967073,67.0271951856661,
4.25,,,,49.84653443913463,54.200081646889416,54.20008164688943,67.1604584146883,
4.5,,,,49.72211254246033,54.33170315579652,54.331703155796525,67.29392985058217,
4.75,,,,49.59790008839889,54.4635259588089,54.46352595880891,67.42760923384067,
5.0,,,,49.47389724584001,54.595549775623965,54.59554977562397,67.56149630168167,
5.25,,,,49.35010418040746,54.727774323238236,54.727774323238236,67.69559078806377,
5.5,,,,49.22652105444789,54.86019931596589,54.8601993159659,67.82989242370184,
5.75,,,,49.103148027020886,54.99282446545825,54.99282446545825,67.96440093608399,
6.0,,,,48.97998525388999,55.125649480722835,55.125649480722835,68.09911604948684,
6.25,,,,48.857032887512624,55.258674068142504,55.258674068142504,68.234037484993,
6.5,,,,48.73429107703077,55.39189793149549,55.3918979314955,68.36916496050785,
6.75,,,,48.6117599682628,55.52532077197438,55.52532077197438,68.50449819077639,
7.0,,,,48.48943970369382,55.658942288206944,55.65894228820696,68.6400368874011,
7.25,,,,48.36733042246799,55.792762176275176,55.792762176275176,68.77578075885859,
7.5,,,,48.24543226038021,55.926780129735704,55.926780129735704,68.91172951051863,
7.75,,,,48.123745349868294,56.0609958396407,56.06099583964071,69.04788284466173,
8.0,,,,48.002269820005075,56.19540899455742,56.195408994557425,69.18424046049695,
8.25,,,,47.881005796492,56.33001928058903,56.33001928058903,69.32080205418092,
8.5,,,,47.75995340165098,56.4648263813957,56.4648263813957,69.45756731883668,
8.75,,,,47.639112754418555,56.59982997821513,56.59982997821513,69.59453594457247,
9.0,,,,47.51848397033898,56.73502974988353,56.73502974988354,69.73170761850069,
9.25,,,,47.39806716155817,56.870425372856516,56.87042537285652,69.86908202475716,
9.5,,,,47.277862436818054,57.006016521230634,57.00601652123065,70.00665884452162,
9.75,,,,47.15786990145045,57.141802866764536,57.14180286676454,70.1444377560365,
10.0,,,,47.03808965737216,57.277784078900545,57.277784078900545,70.28241843462753,
10.25,,,,46.91852180307998,57.413959824785664,57.413959824785664,70.42060055272333,
10.5,,,,46.799166433645496,57.55032976929415,57.55032976929416,70.55898377987661,
10.75,,,,46.68002364071102,57.68689357504852,57.68689357504853,70.69756778278438,
11.0,,,,46.561093512485364,57.82365090244179,57.82365090244179,70.83635222530813,
11.25,,,,46.44237613373976,57.960601409659034,57.96060140965904,70.97533676849585,
11.5,,,,46.323871585804284,58.097744752699924,58.097744752699924,71.1145210706025,
11.75,,,,46.205579946564974,58.235080585401,58.235080585401,71.25390478711151,
12.0,,,,46.0875012904598,58.37260855945703,58.37260855945703,71.39348757075629,
12.25,,,,45.96963568847707,58.510328324444124,58.510328324444124,71.53326907154198,
12.5,,,,45.85198320815209,58.64823952784201,58.648239527842016,71.67324893676717,
