u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup
53.75,92.02434506948597,34.652287977746745,,92.02434506948597
54.0,92.1933484201875,34.561844698204155,,92.1933484201875
54.25,92.36245928309205,34.471595086950735,,92.36245928309204
54.5,92.5316772574201,34.381538819528316,,92.53167725742009
54.75,92.70100194354478,34.291675569973904,,92.70100194354478
55.0,92.87043294299698,34.20200501084037,,92.87043294299698
55.25,93.03996985846928,34.11252681321712,,93.03996985846928
55.5,93.2096122938211,34.02324064675184,,93.20961229382108
55.75,93.37935985408168,33.934146179670684,,93.37935985408168
56.0,93.54921214545533,33.84524307879925,,93.54921214545533
56.25,93.71916877532422,33.75653100958373,,93.7191687753242
56.5,93.88922935225266,33.668009636111485,,93.88922935225264
56.75,94.05939348599104,33.57967862113156,,94.05939348599102
57.0,94.22966078747905,33.49153762607601,,94.22966078747905
57.25,94.40003086884909,33.40358631107967,,94.40003086884909
57.5,94.57050334342988,33.3158243350019,,94.57050334342986
57.75,94.74107782574964,33.22825135544616,,94.74107782574964
58.0,94.91175393153874,33.140867028780974,,94.91175393153874
58.25,95.0825312777333,33.05367101016033,,95.0825312777333
58.5,95.25340948247782,32.96666295354423,,95.25340948247782
58.75,95.42438816512811,32.87984251171872,,95.4243881651281
59.0,95.59546694625368,32.79320933631654,,95.59546694625368
59.25,95.7666454476407,32.70676307783716,,95.76664544764071
59.5,95.93792329229393,32.62050338566718,,95.93792329229393
59.75,96.10930010443971,32.53442990810014,,96.10930010443971
60.0,96.2807755095281,32.44854229235665,,96.2807755095281
60.25,96.45234913423424,32.362840184604934,,96.45234913423423
60.5,96.6240206064616,32.27732322997977,,96.62402060646158
60.75,96.79578955534326,32.19199107260326,,96.79578955534325
61.0,96.96765561124371,32.10684335560427,,96.9676556112437
61.25,97.13961840576113,32.02187972113782,,97.13961840576113
61.5,97.31167757172832,31.937099810405545,,97.3116775717283
61.75,97.4838327432149,31.852503263674432,,97.48383274321489
62.0,97.65608355552861,31.76808972029688,,97.6560835555286
62.25,97.82842964521654,31.68385881872988,,97.82842964521653
62.5,98.00087065006655,31.59981019655445,,98.00087065006653
62.75,98.17340620910826,31.515943490494973,,98.17340620910826
63.0,98.34603596261431,31.43225833643817,,98.34603596261428
63.25,98.51875955210181,31.348754369452568,,98.51875955210181
63.5,98.69157662033238,31.265431223807052,,98.69157662033238
63.75,98.86448681131361,31.182288532990334,,98.8644868113136
64.0,99.03748977029966,31.099325929729442,,99.03748977029966
64.25,99.21058514379153,31.016543046008703,,99.21058514379153
