u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
1.5,,53.38543850723957,,53.38543850723956,53.337197235610134,53.337197235610155,,
2.0,,53.12704073672542,,53.12704073672541,53.59850149923495,53.598501499234985,,
2.5,,52.869467699480296,,52.86946769948035,53.86063259529479,53.86063259529479,,
3.0,,52.61271973703139,,52.612719737031384,54.12358965637709,54.123589656377085,,
3.5,,52.356796362094165,,52.356796362094144,54.387372441621125,54.38737244162112,,
4.0,,52.10169574684879,,52.10169574684877,54.651981778801286,54.65198177880131,,
4.5,,51.847413790306625,,51.847413790306625,54.91742036968911,54.91742036968914,,
5.0,,51.59394233259517,,51.593942332595304,55.18369433145141,55.18369433145143,,
5.5,,51.34126553019068,,51.34126553019075,55.45081632429691,55.450816324296945,,
6.0,,51.08935196142099,,51.08935196142099,55.7188123607471,55.71881236074716,,
6.5,,50.83813587530747,,50.838135875307515,55.98773797294305,55.98773797294312,,
7.0,,50.58746749060165,,50.587467490601654,56.25772104627709,56.257721046277055,,
7.5,,50.336960957250724,,50.33696095725066,56.52909277587226,56.52909277587223,,
8.0,,,,50.09163374729558,60.711812713992714,56.79747297371891,62.34744124200445,
8.5,,,,49.844147136154945,60.99159272097047,57.06929639253346,62.61022093999125,
9.0,,,,49.59750953427948,61.27214067986454,57.341910697676624,62.873832328558755,
9.5,,,,49.35172199978737,61.55345364789194,57.61531330940493,63.13827350588883,
10.0,,,,49.10678556472438,61.835528619643654,57.88950158356263,63.40354249365632,
10.5,,,,48.86270122675042,62.118362536323616,58.16447281709692,63.669637242242345,
11.0,,,,,62.4017263698807,62.401726369880734,63.93627543410339,63.93627543410343
11.5,,,,,62.68615924195022,62.68615924195019,64.20413758455021,64.20413758455018
12.0,,,,,62.971293969254404,62.97129396925435,64.47275356334411,64.47275356334421
12.5,,,,,63.25715589133022,63.25715589133024,64.74216024459395,64.74216024459398
13.0,,,,,63.54375181294253,63.543751812942524,65.01236913684119,65.01236913684123
13.5,,,,,63.831082672312924,63.8310826723129,65.28338367090188,65.28338367090194
14.0,,,,,64.11914716482181,64.11914716482178,65.55520416804279,65.55520416804282
14.5,,,,,64.4079429998968,64.4079429998968,65.82782957056241,65.82782957056246
15.0,,,,,64.69746740226216,64.69746740226209,66.1012581346233,66.10125813462332
15.5,,,,,64.98771733433809,64.98771733433807,66.37548773866004,66.37548773866007
16.0,,,,,65.27868960369273,65.27868960369268,66.65051603273676,66.65051603273673
16.5,,,,,65.57038091877293,65.57038091877297,66.92634051607946,66.92634051607946
17.0,,,,,65.86278791963704,65.86278791963697,67.20295857978029,67.20295857978039
