u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup
-1.75,59.87857955875697,59.87857955875696,,
-1.5,59.74176127974675,59.74176127974674,,
-1.25,59.60514146465677,59.60514146465677,,
-1.0,59.46872043981533,59.46872043981532,,
-0.75,59.3324985289632,59.3324985289632,,
-0.5,59.19647605323327,59.19647605323327,,
-0.25,59.06065333112967,59.06065333112967,,
0.0,,,58.925030678507966,58.925030678507966
0.25,,,59.0606533311297,59.060653331129686
0.5,,,59.19647605323337,59.19647605323336
0.75,,,59.33249852896324,59.33249852896324
1.0,,,59.46872043981538,59.46872043981538
1.25,,,59.605141464656725,59.605141464656725
1.5,,,59.741761279746804,59.741761279746804
1.75,,,59.87857955875696,59.878579558756954
2.0,,,60.01559597279247,60.01559597279247
2.25,,,60.15281019041305,60.15281019041305
2.5,,,60.29022187765355,60.29022187765355
2.75,,,60.42783069804584,60.42783069804584
3.0,,,60.56563631263981,60.565636312639796
3.25,,,60.70363838002528,60.70363838002528
3.5,,,60.84183655635336,60.84183655635336
3.75,,,60.980230495358285,60.98023049535827
4.0,,,61.118819848379516,61.118819848379516
4.25,,,61.257604264383914,61.25760426438391
4.5,,,61.39658338998768,61.39658338998768
4.75,,,61.5357568694787,61.53575686947869
5.0,,,61.675124344839105,61.675124344839105
5.25,,,61.814685455768064,61.81468545576806
5.5,,,61.95443983970378,61.95443983970378
5.75,,,62.09438713184687,62.09438713184687
6.0,,,62.23452696518308,62.23452696518308
6.25,,,62.374858970506054,62.37485897050605
6.5,,,62.51538277644076,62.515382776440745
6.75,,,62.65609800946612,62.65609800946611
7.0,,,62.797004293939146,62.797004293939146
7.25,,,62.93810125211739,62.93810125211739
7.5,,,63.07938850418259,63.07938850418259
7.75,,,63.220865668264906,63.2208656682649
8.0,,,63.36253236046547,63.362532360465465
8.25,,,63.504388194880455,63.50438819488045
8.5,,,63.64643278362512,63.646432783625116
8.75,,,63.78866573685734,63.78866573685734
9.0,,,63.931086662801526,63.931086662801526
9.25,,,64.07369516777227,64.07369516777227
9.5,,,64.21649085619879,64.21649085619877
9.75,,,64.35947333064861,64.35947333064861
10.0,,,64.50264219185205,64.50264219185205
10.25,,,64.64599703872555,64.64599703872554
10.5,,,64.78953746839704,64.78953746839704
10.75,,,64.9332630762291,64.9332630762291
11.0,,,65.07717345584389,65.07717345584388
11.25,,,65.2212681991468,65.22126819914679
11.5,,,65.36554689635143,65.36554689635143
11.75,,,65.51000913600393,65.51000913600393
12.0,,,65.65465450500659,65.65465450500659
12.25,,,65.79948258864299,65.79948258864299
12.5,,,65.94449297060224,65.94449297060223
12.75,,,66.08968523300334,66.08968523300334
13.0,,,66.23505895641946,66.23505895641946
13.25,,,66.38061371990293,66.38061371990293
13.5,,,66.52634910100885,66.52634910100885
13.75,,,66.6722646758205,66.67226467582049
14.0,,,66.81836001897315,66.81836001897315
14.25,,,66.9646347036785,66.9646347036785
14.5,,,67.1110883017498,67.1110883017498
14.75,,,67.25772038362513,67.25772038362511
15.0,,,67.4045305183933,67.40453051839329
15.25,,,67.5515182738169,67.5515182738169
15.5,,,67.69868321635762,67.69868321635762
15.75,,,67.84602491120002,67.8460249112
16.0,,,67.9935429222762,67.99354292227619
16.25,,,68.14123681229009,68.14123681229009
16.5,,,68.28910614274173,68.28910614274174
16.75,,,68.43715047395143,68.43715047395142
17.0,,,68.58536936508419,68.58536936508418
17.25,,,68.73376237417347,68.73376237417345
17.5,,,68.88232905814584,68.88232905814584
