u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LL1_Km_Sdown_to_LL2_Km_Sdown
-13.0,,58.924634829441345,52.15520867843769,66.23505895641948,45.61731786534149,
-12.75,,58.78634181505639,52.28006437850787,66.08968523300335,45.73454391356574,
-12.5,,58.64823952784201,52.40513248464467,65.94449297060221,45.85198320815209,
-12.25,,58.51032832444409,52.53041284174373,65.79948258864295,45.969635688477055,
-12.0,,58.37260855945693,52.65590529128697,65.65465450500649,46.0875012904598,
-11.75,,58.235080585401,52.781609671351525,65.51000913600392,46.205579946564946,
-11.5,,58.09774475269999,52.907525816617984,65.36554689635147,46.32387158580435,
-11.25,,57.96060140965904,53.03365355837946,65.2212681991468,46.44237613373967,
-11.0,,57.82365090244171,53.159992724550705,65.07717345584379,46.5610935124854,
-10.75,,57.6868935750485,53.28654313967686,64.93326307622905,46.68002364071105,
-10.5,,57.55032976929415,53.413304624944,64.78953746839704,46.79916643364542,
-10.25,,57.41395982478568,53.540276998188745,64.64599703872555,46.91852180307991,
-10.0,,57.27778407890042,53.667460073908146,64.5026421918519,47.038089657372204,
-9.75,,57.141802866764586,53.79485366327043,64.35947333064865,47.15786990145046,
-9.5,,57.00601652123069,53.9224575741259,64.21649085619885,47.27786243681814,
-9.25,,56.870425372856495,54.05027161101751,64.07369516777227,47.39806716155822,
-9.0,,56.735029749883516,54.17829557519289,63.93108666280151,47.51848397033902,
-8.75,,56.59982997821512,54.30652926461494,63.78866573685733,47.6391127544186,
-8.5,,56.46482638139568,54.43497247397442,63.64643278362509,47.75995340165095,
-8.25,,56.330019280588985,54.56362499470193,63.504388194880384,47.88100579649202,
-8.0,,56.19540899455731,54.69248661497969,63.36253236046537,48.00226982000514,
-7.75,,56.060995839640704,54.82155711975474,63.220865668264906,48.123745349868216,
-7.5,,55.92678012973578,54.95083629075178,63.07938850418268,48.24543226038028,
-7.25,,55.79276217627513,55.0803239064856,62.938101252117335,48.367330422468015,
-7.0,,55.65894228820695,55.21001974227543,62.79700429393915,48.489439703693826,
-6.75,,55.525320771974336,55.3399235702578,62.65609800946605,48.61175996826281,
-6.5,,55.39189793149544,55.47003515940081,62.51538277644071,48.73429107703085,
-6.25,,55.258674068142476,55.60035427551792,62.37485897050601,48.85703288751255,
-6.0,,55.12564948072279,55.730880681282805,62.23452696518302,48.97998525389003,
