u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
3.5,60.841836556353364,57.0474912424815,60.841836556353364,57.047491242481485
3.75,60.98023049535828,56.91490567327876,60.98023049535828,56.91490567327876
4.0,61.118819848379516,56.782524851081554,61.118819848379516,56.78252485108155
4.25,61.25760426438391,56.65034904377549,61.2576042643839,56.650349043775485
4.5,61.39658338998769,56.51837851626277,61.39658338998768,56.518378516262764
4.75,61.53575686947869,56.386613530445445,61.53575686947868,56.386613530445445
5.0,61.675124344839105,56.25505434520848,61.675124344839105,56.25505434520848
5.25,61.81468545576806,56.123701216404434,61.81468545576806,56.123701216404434
5.5,61.954439839703774,55.99255439683657,61.954439839703774,55.99255439683657
5.75,62.09438713184687,55.861614136243205,62.09438713184686,55.861614136243205
6.0,62.23452696518308,55.730880681282756,62.23452696518307,55.730880681282756
6.25,62.374858970506054,55.600354275517994,62.37485897050605,55.600354275517994
6.5,62.51538277644074,55.470035159400744,62.51538277644074,55.47003515940074
6.75,62.65609800946612,55.339923570257824,62.65609800946612,55.33992357025782
7.0,62.797004293939146,55.21001974227543,62.79700429393914,55.21001974227542
7.25,62.93810125211739,55.08032390648558,62.93810125211739,55.08032390648558
7.5,63.079388504182596,54.95083629075171,63.079388504182596,54.95083629075171
7.75,63.22086566826491,54.821557119754836,63.22086566826491,54.82155711975483
8.0,63.36253236046547,54.692486614979615,63.362532360465465,54.69248661497961
8.25,63.50438819488045,54.56362499470194,63.50438819488045,54.56362499470193
8.5,63.64643278362512,54.43497247397445,63.646432783625116,54.43497247397445
8.75,63.788665736857354,54.306529264614895,63.78866573685735,54.30652926461488
9.0,63.93108666280153,54.17829557519283,63.931086662801526,54.17829557519283
9.25,64.07369516777227,54.050271611017486,64.07369516777227,54.050271611017486
9.5,64.21649085619876,53.922457574125815,64.21649085619876,53.9224575741258
9.75,64.35947333064861,53.79485366327041,64.3594733306486,53.79485366327041
10.0,64.50264219185205,53.66746007390809,64.50264219185205,53.66746007390809
10.25,64.64599703872554,53.54027699818881,64.64599703872554,53.54027699818881
10.5,64.78953746839704,53.413304624944104,64.78953746839703,53.413304624944104
10.75,64.9332630762291,53.286543139676866,64.9332630762291,53.28654313967685
11.0,65.07717345584389,53.15999272455066,65.07717345584389,53.159992724550655
11.25,65.22126819914679,53.03365355837954,65.22126819914679,53.03365355837953
11.5,65.36554689635143,52.90752581661795,65.36554689635143,52.90752581661794
11.75,65.51000913600393,52.781609671351546,65.51000913600393,52.781609671351546
12.0,65.65465450500659,52.65590529128698,65.65465450500659,52.65590529128697
12.25,65.79948258864299,52.53041284174376,65.79948258864299,52.530412841743754
12.5,65.94449297060223,52.405132484644675,65.94449297060223,52.40513248464467
12.75,66.08968523300334,52.28006437850782,66.08968523300334,52.28006437850782
13.0,66.23505895641948,52.1552086784376,66.23505895641948,52.155208678437596
13.25,66.38061371990294,52.03056553611777,66.38061371990294,52.03056553611777
13.5,66.52634910100885,51.90613509980259,66.52634910100885,51.90613509980259
13.75,66.6722646758205,51.781917514310386,66.67226467582049,51.781917514310386
14.0,66.81836001897315,51.65791292101598,66.81836001897314,51.65791292101598
14.25,66.9646347036785,51.5341214578437,66.9646347036785,51.534121457843696
14.5,67.1110883017498,51.41054325926121,67.11108830174979,51.41054325926121
14.75,67.25772038362513,51.28717845627311,67.25772038362513,51.2871784562731
15.0,67.4045305183933,51.16402717641461,67.4045305183933,51.16402717641461
15.25,67.5515182738169,51.041089543746466,67.5515182738169,51.04108954374646
15.5,67.69868321635762,50.9183656788491,67.69868321635761,50.91836567884909
15.75,67.8460249112,50.79585569881778,67.8460249112,50.79585569881778
16.0,67.99354292227619,50.67355971725758,67.99354292227619,50.67355971725758
16.25,68.14123681229009,50.55147784427902,68.14123681229009,50.55147784427902
16.5,68.28910614274176,50.42961018649378,68.28910614274174,50.429610186493775
16.75,68.43715047395145,50.30795684701071,68.43715047395143,50.30795684701071
17.0,68.58536936508418,50.18651792543246,68.58536936508418,50.186517925432454
17.25,68.73376237417345,50.065293517851615,68.73376237417345,50.065293517851615
17.5,68.88232905814584,49.94428371684831,68.88232905814584,49.94428371684831
17.75,69.03106897284493,49.82348861148661,69.03106897284493,49.82348861148661
18.0,69.17998167305525,49.70290828731294,69.17998167305525,49.70290828731294
18.25,69.32906671252633,49.58254282635331,69.32906671252633,49.58254282635331
18.5,69.47832364399672,49.46239230711174,69.4783236439967,49.46239230711174
18.75,69.6277520192179,49.342456804568485,69.62775201921788,49.34245680456848
19.0,69.77735138897812,49.222736390178774,69.77735138897812,49.222736390178774
19.25,69.92712130312589,49.10323113187188,69.92712130312589,49.10323113187188
19.5,70.07706131059425,48.98394109405017,70.07706131059423,48.98394109405015
19.75,70.22717095942383,48.864866337589326,70.22717095942383,48.86486633758932
20.0,70.3774497967871,48.74600691983756,70.3774497967871,48.746006919837555
20.25,70.52789736901093,48.62736289461582,70.52789736901093,48.627362894615814
20.5,70.67851322160121,48.508934312218585,70.67851322160121,48.50893431221858
20.75,70.82929689926515,48.3907212194145,70.82929689926515,48.3907212194145
21.0,70.98024794593536,48.272723659447415,70.98024794593536,48.27272365944741
