u,LL1_Kp_Sdown_to_LL2_Kp_Sdown,LL1_Kp_Sup_to_LL2_Kp_Sup,LL1_Km_Sdown_to_LL2_Km_Sdown,LL1_Km_Sup_to_LL2_Km_Sup
-1.75,65.8372366118161,65.83723661181611,,
-1.5,65.706068993203,65.706068993203,,
-1.25,65.57511221566466,65.57511221566466,,
-1.0,65.44436649828039,65.4443664982804,,
-0.75,65.31383205667463,65.31383205667463,,
-0.5,65.1835091030052,65.1835091030052,,
-0.25,65.0533978459516,65.0533978459516,,
0.0,,,64.92349849070334,64.92349849070335
0.25,,,65.0533978459516,65.05339784595161
0.5,,,65.18350910300525,65.18350910300526
0.75,,,65.31383205667464,65.31383205667466
1.0,,,65.44436649828043,65.44436649828043
1.25,,,65.57511221566476,65.57511221566476
1.5,,,65.70606899320302,65.70606899320302
1.75,,,65.83723661181614,65.83723661181614
2.0,,,65.96861484898213,65.96861484898214
2.25,,,66.1002034787489,66.1002034787489
2.5,,,66.23200227174723,66.23200227174723
2.75,,,66.36401099520333,66.36401099520334
3.0,,,66.49622941295252,66.49622941295252
3.25,,,66.62865728545253,66.62865728545255
3.5,,,66.76129436979755,66.76129436979755
3.75,,,66.89414041973228,66.8941404197323
4.0,,,67.02719518566612,67.02719518566612
4.25,,,67.1604584146883,67.1604584146883
4.5,,,67.29392985058217,67.29392985058217
4.75,,,67.42760923384067,67.42760923384068
5.0,,,67.56149630168167,67.56149630168169
5.25,,,67.69559078806377,67.69559078806378
5.5,,,67.82989242370184,67.82989242370185
5.75,,,67.96440093608399,67.964400936084
6.0,,,68.09911604948684,68.09911604948684
6.25,,,68.234037484993,68.23403748499301
6.5,,,68.36916496050785,68.36916496050785
6.75,,,68.50449819077639,68.50449819077639
7.0,,,68.6400368874011,68.6400368874011
7.25,,,68.77578075885859,68.77578075885859
7.5,,,68.91172951051864,68.91172951051864
7.75,,,69.04788284466173,69.04788284466173
8.0,,,69.18424046049695,69.18424046049697
8.25,,,69.32080205418092,69.32080205418092
8.5,,,69.45756731883668,69.45756731883668
8.75,,,69.59453594457247,69.59453594457248
9.0,,,69.73170761850069,69.73170761850069
9.25,,,69.86908202475718,69.86908202475718
9.5,,,70.00665884452162,70.00665884452162
